An error occurred: illegal san: 'Kb7' in rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1, unable to load chessboard with Kb7========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Rg8' in rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1, unable to load chessboard with Rg8========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Rh6' in rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1, unable to load chessboard with Rh6========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Rf8' in rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1, unable to load chessboard with Rf8========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Qe7' in rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1, unable to load chessboard with Qe7========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Rg8' in rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1, unable to load chessboard with Rg8========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Qe6' in rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1, unable to load chessboard with Qe6========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Qxe6' in rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1, unable to load chessboard with Qxe6========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Rxe6' in rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1, unable to load chessboard with Rxe6========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Rd1' in rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1, unable to load chessboard with Rd1========== End of Environ.load_chessboard ==========


